iter	Passed	Remaining
429	1711	2268
430	1714	2263
431	1716	2256
432	1718	2250
433	1720	2243
434	1722	2237
435	1726	2233
436	1728	2227
437	1731	2221
438	1733	2215
439	1735	2209
440	1738	2203
441	1741	2198
442	1743	2192
443	1746	2186
444	1748	2180
445	1750	2174
446	1754	2171
447	1757	2165
448	1759	2159
449	1761	2153
450	1763	2146
451	1765	2140
452	1770	2138
453	1773	2132
454	1775	2126
455	1777	2120
456	1779	2114
457	1782	2109
458	1785	2105
459	1788	2099
460	1790	2093
461	1792	2087
462	1795	2082
463	1798	2077
464	1802	2074
465	1805	2069
466	1807	2063
467	1810	2057
468	1814	2054
469	1818	2050
470	1820	2045
471	1823	2039
472	1827	2036
473	1831	2032
474	1833	2026
475	1836	2021
476	1840	2018
477	1843	2013
478	1847	2009
479	1851	2005
480	1854	2000
481	1858	1997
482	1862	1993
483	1865	1988
484	1867	1983
485	1871	1979
486	1874	1974
487	1878	1970
488	1882	1967
489	1891	1968
490	1895	1965
491	1898	1960
492	1903	1957
493	1906	1953
494	1909	1948
495	1912	1943
496	1915	1938
497	1919	1934
498	1922	1929
499	1924	1924
500	1927	1919
501	1930	1915
502	1935	1912
503	1938	1907
504	1940	1902
505	1943	1897
506	1948	1894
507	1951	1890
508	1958	1888
509	1962	1885
510	1966	1882
511	1969	1876
512	1971	1871
513	1974	1866
514	1977	1862
515	1980	1857
516	1983	1852
517	1986	1848
518	1988	1843
519	1992	1839
520	1995	1835
521	1998	1830
522	2000	1824
523	2003	1820
524	2010	1818
525	2013	1814
526	2015	1808
527	2017	1803
528	2022	1800
529	2027	1797
530	2030	1793
531	2032	1788
532	2038	1785
533	2041	1781
534	2046	1778
535	2051	1776
536	2057	1773
537	2060	1769
538	2063	1764
539	2067	1761
540	2071	1757
541	2073	1752
542	2076	1747
543	2078	1742
544	2084	1740
545	2087	1735
546	2091	1732
547	2096	1728
548	2099	1725
549	2133	1745
550	2137	1741
551	2140	1737
552	2147	1735
553	2155	1735
554	2161	1733
555	2166	1730
556	2169	1725
557	2189	1734
558	2192	1730
559	2201	1729
560	2207	1727
561	2209	1722
562	2212	1717
563	2214	1712
564	2217	1707
565	2219	1701
566	2223	1697
567	2226	1693
568	2229	1689
569	2234	1685
570	2238	1681
571	2242	1677
572	2245	1673
573	2248	1668
574	2251	1663
575	2253	1658
576	2256	1654
577	2259	1649
578	2262	1645
579	2268	1642
580	2271	1637
581	2274	1633
582	2277	1628
583	2280	1624
584	2283	1619
585	2286	1615
586	2288	1609
587	2290	1605
588	2293	1600
589	2296	1596
590	2299	1591
591	2301	1586
592	2303	1581
593	2305	1576
594	2309	1571
595	2311	1566
596	2314	1562
597	2316	1557
598	2319	1552
599	2321	1547
600	2324	1543
601	2327	1538
602	2329	1533
603	2332	1529
604	2335	1524
605	2339	1520
606	2341	1516
607	2343	1511
608	2346	1506
609	2348	1501
610	2351	1496
611	2353	1492
612	2357	1488
613	2359	1483
614	2362	1478
615	2365	1474
616	2368	1470
617	2371	1465
618	2375	1462
619	2378	1457
620	2380	1453
621	2384	1448
622	2388	1445
623	2390	1440
624	2393	1436
625	2395	1431
626	2399	1427
627	2403	1423
628	2406	1419
629	2408	1414
630	2410	1409
631	2414	1405
632	2417	1401
633	2419	1396
634	2422	1392
635	2424	1387
636	2427	1383
637	2430	1379
638	2434	1375
639	2437	1371
640	2440	1366
641	2443	1362
642	2449	1359
643	2453	1356
644	2456	1351
645	2459	1347
646	2463	1343
647	2465	1339
648	2470	1336
649	2474	1332
650	2479	1329
651	2484	1326
652	2489	1322
653	2491	1318
654	2494	1313
655	2500	1311
656	2504	1307
657	2507	1303
658	2511	1299
659	2514	1295
660	2518	1291
661	2521	1287
662	2525	1283
663	2527	1279
664	2531	1275
665	2534	1271
666	2537	1266
667	2539	1262
668	2542	1257
669	2552	1257
670	2556	1253
671	2558	1248
672	2562	1244
673	2565	1240
674	2569	1237
675	2572	1232
676	2574	1228
677	2577	1224
678	2584	1222
679	2588	1218
680	2592	1214
681	2595	1209
682	2599	1206
683	2604	1203
684	2608	1199
685	2610	1195
686	2613	1190
687	2618	1187
688	2624	1184
689	2627	1180
690	2629	1176
691	2632	1171
692	2638	1169
693	2642	1165
694	2644	1160
695	2647	1156
696	2649	1151
697	2655	1148
698	2659	1145
699	2662	1140
